cell,arc,metric,transition_type,slew_ns,load_pf,ref0_value_ns,ref1_value_ns,delta_ns,percent_diff
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,1.0,1.52467,1.51342,-0.01125,-0.7379
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,1.310345,1.660406,1.648827,-0.011579,-0.6974
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,1.62069,1.796141,1.784233,-0.011908,-0.663
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,1.931034,1.931877,1.91964,-0.012237,-0.6334
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,2.0,1.96204,1.94973,-0.01231,-0.6274
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,2.241379,2.066739,2.054324,-0.012415,-0.6007
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,2.551724,2.201352,2.188803,-0.012549,-0.5701
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,2.862069,2.335965,2.323282,-0.012684,-0.543
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,3.0,2.395793,2.38305,-0.012743,-0.5319
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,3.172414,2.470578,2.457693,-0.012885,-0.5215
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,3.482759,2.605191,2.592051,-0.013141,-0.5044
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,3.5,2.61267,2.599515,-0.013155,-0.5035
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,3.793103,2.739465,2.726408,-0.013056,-0.4766
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,4.0,2.828967,2.81598,-0.012987,-0.4591
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,4.103448,2.873718,2.860702,-0.013015,-0.4529
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,4.413793,3.007971,2.99487,-0.013101,-0.4355
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,4.724138,3.142224,3.129037,-0.013187,-0.4197
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,5.0,3.26156,3.248297,-0.013263,-0.4067
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,5.034483,3.276465,3.263204,-0.013261,-0.4047
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,5.344828,3.410614,3.397371,-0.013243,-0.3883
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,5.655172,3.544763,3.531539,-0.013224,-0.3731
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,5.965517,3.678911,3.665706,-0.013205,-0.3589
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,6.275862,3.81306,3.799873,-0.013187,-0.3458
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,6.586207,3.947209,3.93404,-0.013168,-0.3336
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,6.896552,4.081357,4.068208,-0.01315,-0.3222
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,7.0,4.126073,4.11293,-0.013143,-0.3185
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,7.206897,4.215506,4.202331,-0.013174,-0.3125
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,7.517241,4.349654,4.336433,-0.013221,-0.304
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,7.827586,4.483803,4.470536,-0.013267,-0.2959
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,8.0,4.55833,4.545037,-0.013293,-0.2916
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,8.137931,4.61792,4.604638,-0.013282,-0.2876
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,8.448276,4.751998,4.73874,-0.013258,-0.279
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,8.758621,4.886075,4.872842,-0.013233,-0.2708
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,9.068966,5.020152,5.006944,-0.013209,-0.2631
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,9.37931,5.15423,5.141046,-0.013184,-0.2558
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,9.689655,5.288308,5.275148,-0.01316,-0.2488
sg13g2_IOPadOut4mA,c2p->pad,delay,rise,0.1,10.0,5.422385,5.40925,-0.013135,-0.2422
sg13g2_IOPadOut4mA,c2p->pad,delay,fall,0.1,1.0,1.36325,1.34619,-0.01706,-1.2514
sg13g2_IOPadOut4mA,c2p->pad,delay,fall,0.1,1.310345,1.496323,1.478732,-0.017591,-1.1756
sg13g2_IOPadOut4mA,c2p->pad,delay,fall,0.1,1.62069,1.629396,1.611274,-0.018121,-1.1122
