# Logfile created on 2026-09-09 22:59:10 +0200 by logger.rb/v1.5.3
2026-09-09 22:59:10 +0200: Memory Usage (459460K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/IHP__QDLL6501/release/v.1.0.0/gds/QDLL_TOP.gds
2026-09-09 22:59:10 +0200: Memory Usage (459460K) : Ruby Version for klayout: 3.2.3
2026-09-09 22:59:11 +0200: Memory Usage (459776K) : Loading database to memory is complete.
2026-09-09 22:59:11 +0200: Memory Usage (459776K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/IHP__QDLL6501/drc/QDLL_TOP_QDLL_TOP_main.lyrdb
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : Evaluate switches.
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : tables selected: main
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : KLayout will use 1 thread(s) in tiling mode.
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : deep mode is enabled.
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : FEOL enabled: true
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : BEOL enabled: true
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : OFFGRID enabled: true
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : ANGLE enabled: true
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : PIN enabled: true
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : FORBIDDEN enabled: true
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : RECOMMENDED enabled: true
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : PreCheck DRC enabled: false
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : CONNECTIVITY_RULES enabled: true.
2026-09-09 22:59:11 +0200: Memory Usage (459956K) : Read in polygons from layers.
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : activ_drw has 164 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : activ_pin has 0 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : activ_mask has 0 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : activ_filler has 0 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : activ_nofill has 0 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : activ_opc has 0 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : activ_iopc has 0 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : activ_noqrc has 0 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : biwind_drw has 0 polygons
2026-09-09 22:59:11 +0200: Memory Usage (460852K) : biwind_opc has 0 polygons
